datetime,portfolio_value
2025-01-02 09:30:00-05:00,10000.0
2025-01-02 09:35:00-05:00,10000.0
2025-01-02 09:40:00-05:00,10000.0
2025-01-02 09:45:00-05:00,10000.0
2025-01-02 09:50:00-05:00,10000.0
2025-01-02 09:55:00-05:00,10000.0
2025-01-02 10:00:00-05:00,10000.0
2025-01-02 10:05:00-05:00,9994.128065470075
2025-01-02 10:10:00-05:00,9997.36628309197
2025-01-02 10:15:00-05:00,9976.408215587271
2025-01-02 10:20:00-05:00,9944.343165229118
2025-01-02 10:25:00-05:00,9947.192578686
2025-01-02 10:30:00-05:00,9940.459668549474
2025-01-02 10:35:00-05:00,9941.511701735782
2025-01-02 10:40:00-05:00,9938.010417770061
2025-01-02 10:45:00-05:00,9960.774588965876
2025-01-02 10:50:00-05:00,9971.643128827047
2025-01-02 10:55:00-05:00,9957.02509032279
2025-01-02 11:00:00-05:00,9920.594299565422
2025-01-02 11:05:00-05:00,9917.155153826448
2025-01-02 11:10:00-05:00,9925.01863968953
2025-01-02 11:15:00-05:00,9930.190544925274
2025-01-02 11:20:00-05:00,9933.877205712102
2025-01-02 11:25:00-05:00,9938.531909573925
2025-01-02 11:30:00-05:00,9939.212925682903
2025-01-02 11:35:00-05:00,9949.077835263644
2025-01-02 11:40:00-05:00,9948.854128878702
2025-01-02 11:45:00-05:00,9951.52712548089
2025-01-02 11:50:00-05:00,9942.064514365124
2025-01-02 11:55:00-05:00,9942.487874756274
2025-01-02 12:00:00-05:00,9947.271454827278
2025-01-02 12:05:00-05:00,9942.821567275361
2025-01-02 12:10:00-05:00,9955.11539522543
2025-01-02 12:15:00-05:00,9946.268724642905
2025-01-02 12:20:00-05:00,9929.89908998986
2025-01-02 12:25:00-05:00,9906.522882773459
2025-01-02 12:30:00-05:00,9893.403771668603
2025-01-02 12:35:00-05:00,9876.393623347825
2025-01-02 12:40:00-05:00,9875.47389381333
2025-01-02 12:45:00-05:00,9869.040733716096
2025-01-02 12:50:00-05:00,9877.28348798781
2025-01-02 12:55:00-05:00,9886.757918132416
2025-01-02 13:00:00-05:00,9871.041324218966
2025-01-02 13:05:00-05:00,9882.511595147773
2025-01-02 13:10:00-05:00,9870.0861965407
2025-01-02 13:15:00-05:00,9872.394804523505
2025-01-02 13:20:00-05:00,9869.426032987874
2025-01-02 13:25:00-05:00,9875.766625739281
2025-01-02 13:30:00-05:00,9857.835311170575
2025-01-02 13:35:00-05:00,9863.511450617209
2025-01-02 13:40:00-05:00,9874.783477842187
2025-01-02 13:45:00-05:00,9861.070347229817
2025-01-02 13:50:00-05:00,9853.217021909064
2025-01-02 13:55:00-05:00,9868.730106929042
2025-01-02 14:00:00-05:00,9877.144535957907
2025-01-02 14:05:00-05:00,9873.958699282077
2025-01-02 14:10:00-05:00,9869.023385240485
2025-01-02 14:15:00-05:00,9872.82969808521
2025-01-02 14:20:00-05:00,9882.151709534826
2025-01-02 14:25:00-05:00,9887.407425710797
2025-01-02 14:30:00-05:00,9877.392321236086
2025-01-02 14:35:00-05:00,9876.834290830378
2025-01-02 14:40:00-05:00,9878.061896837937
2025-01-02 14:45:00-05:00,9884.491693368705
2025-01-02 14:50:00-05:00,9888.745257202005
2025-01-02 14:55:00-05:00,9870.445792647419
2025-01-02 15:00:00-05:00,9893.858101352384
2025-01-02 15:05:00-05:00,9894.279181336702
2025-01-02 15:10:00-05:00,9901.500870481375
2025-01-02 15:15:00-05:00,9902.731780306325
2025-01-02 15:20:00-05:00,9904.066825615879
2025-01-02 15:25:00-05:00,9902.766876130461
2025-01-02 15:30:00-05:00,9901.388878111278
2025-01-02 15:35:00-05:00,9896.358855485141
2025-01-02 15:40:00-05:00,9901.10236527415
2025-01-02 15:45:00-05:00,9901.793229211156
2025-01-02 15:50:00-05:00,9892.553762928936
2025-01-02 15:55:00-05:00,9898.688001256885
2025-01-03 09:30:00-05:00,9940.884521839223
